Name,State,Latitude,Longitude,Status,Commodity Group
Korella,Queensland,-21.93875,139.975706,Developing Mine,Rare earth elements (REE)
Kulwin-Woornack,Victoria,-34.28029,143.3796,Care and maintenance,"Heavy mineral sands - Ti, Zr"
Kundana,Western Australia,-30.711143,121.231141,Operating,"Precious metals - Au, Ag"
Kunwarara,Queensland,-22.8814,150.1869,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Lady Annie,Queensland,-19.773053,139.044016,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Lady Loretta,Queensland,-19.768589,139.070193,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Lake Vermont,Queensland,-22.399002,148.438513,Operating,Coal
Lanfranchi,Western Australia,-31.50546,121.8429,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Latrobe Valley,Victoria,-38.217553,146.4016,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Leinster,Western Australia,-27.788893,120.697235,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Liddell,New South Wales,-32.391601,150.999883,Operating,Coal
Lindsay's Find,Western Australia,-30.3275,121.6917,Care and maintenance,"Precious metals - Au, Ag"
Liontown,Queensland,-20.4095,146.0678,Developing Mine,"Base metals - Zn, Pb (Cu, Ag)"
Long,Western Australia,-31.178543,121.677505,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Lorena,Queensland,-20.7187,140.6487,Operating,"Precious metals - Au, Ag"
Loy Yang,Victoria,-38.2347,146.564,Operating,Coal
Maddingley,Victoria,-37.704289,144.440161,Operating,Coal
Magellan,Western Australia,-26.517944,119.941926,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Maggie Hays,Western Australia,-32.222472,120.516998,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mandalong,New South Wales,-33.126841,151.449976,Operating,Coal
Mannering,New South Wales,-33.207823,151.534183,Care and maintenance,Coal
Manuka,New South Wales,-32.218054,145.732205,Developing Mine,"Precious metals - Au, Ag"
Marandoo,Western Australia,-22.638099,118.138562,Operating,Iron ore
Marda,Western Australia,-30.2,119.26,Operating,"Precious metals - Au, Ag"
Mariners,Western Australia,-31.627845,121.661257,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Matilda,Western Australia,-26.7575,120.2149,Operating,"Precious metals - Au, Ag"
Maules Creek,New South Wales,-30.545121,150.154234,Operating,Coal
Maxwells,Western Australia,-31.0809,122.1989,Operating,"Precious metals - Au, Ag"
Maxwells - Inglewood,Victoria,-36.552,143.868,Operating,"Precious metals - Au, Ag"
McArthur River,Northern Territory,-16.436,136.0985,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Meekatharra,Western Australia,-26.589729,118.515336,Operating,"Precious metals - Au, Ag"
Merlin,Northern Territory,-16.847948,136.345105,Care and maintenance,Diamond
Merlin,Queensland,-21.653303,140.493067,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Metropolitan,New South Wales,-34.184912,150.996569,Operating,Coal
Middleback Ranges,South Australia,-32.998,137.156,Operating,Iron ore
Middlemount,Queensland,-22.848131,148.631626,Operating,Coal
Miitel,Western Australia,-31.6278,121.6613,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Millennium and Mavis Downs,Queensland,-22.025,148.213,Operating,Coal
Mindarie,South Australia,-34.795,140.2075,Care and maintenance,"Heavy mineral sands - Ti, Zr"
Mindijup,Western Australia,-34.7689,118.0768,Operating,"High-purity elements - Al, Si"
Mineral Hill,New South Wales,-32.5755,146.9871,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Minerva,Queensland,-23.921376,148.047135,Operating,Coal
Mining Area C,Western Australia,-22.92817,118.96431,Operating,Iron ore
Molyhil,Northern Territory,-22.757085,135.749305,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Monty,Western Australia,-25.559468,119.434427,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Moolarben,New South Wales,-32.29,149.785,Operating,Coal
Moolart Well,Western Australia,-27.6112,122.3479,Operating,"Precious metals - Au, Ag"
Moorvale,Queensland,-21.995517,148.35358,Operating,Coal
Moranbah North,Queensland,-21.871331,147.956742,Operating,Coal
Morningstar,Victoria,-37.5686,146.2456,Operating,"Precious metals - Au, Ag"
Mount Boppy,New South Wales,-31.5618,146.3161,Operating,"Precious metals - Au, Ag"
Mount Carbine,Queensland,-16.518296,145.131875,Operating,"Other metals - Sn, W, Ta"
Mount Carlton,Queensland,-20.2716,147.5619,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Cattlin,Western Australia,-33.56241,120.038002,Operating,Lithium
Mount Colin,Queensland,-20.7759,140.0445,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Garnet,Queensland,-17.6849,145.1126,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Mount Holland,Western Australia,-32.087573,119.74847,Developing Mine,Lithium
Mount Isa Copper,Queensland,-20.743392,139.478345,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Keith,Western Australia,-27.229599,120.54174,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Lindsay,Tasmania,-41.69731,145.32857,Developing Mine,"Other metals - Sn, W, Ta"
Mount Lyell,Tasmania,-42.061,145.5855,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Magnet,Western Australia,-28.0602,117.7834,Operating,"Precious metals - Au, Ag"
Mount Marion,Western Australia,-31.0738,121.4611,Operating,Lithium
Mount Moss,Queensland,-19.085818,145.84711,Care and maintenance,Iron ore
Mount Newman,Western Australia,-23.355737,119.677787,Operating,Iron ore
Mount Owen,New South Wales,-32.38684,151.099981,Operating,Coal
Mount Oxide,Queensland,-19.47865,139.388303,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Peake,Northern Territory,-21.637,133.286,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Rawdon,Queensland,-25.2713,151.7641,Operating,"Precious metals - Au, Ag"
Mount Thorley,New South Wales,-32.63741,151.108624,Operating,Coal
Mount Tom Price,Western Australia,-22.76352,117.771357,Operating,Iron ore
Mount Watson,Queensland,-19.771708,139.888765,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Webber,Western Australia,-21.537,119.289,Operating,Iron ore
Mount Weld,Western Australia,-28.859949,122.547523,Operating,Rare earth elements (REE)
Mountain of Light,South Australia,-30.578933,138.451284,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mulga Rock,Western Australia,-29.904345,123.592004,Developing Mine,Uranium
Munglinup,Western Australia,-33.66352,120.858621,Developing Mine,Graphite
Murrawombie,New South Wales,-31.2586,146.8719,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Murrin Murrin,Western Australia,-28.7668,121.893,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Myrtle Springs,South Australia,-30.4168,138.2258,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Myuna,New South Wales,-33.060111,151.568738,Operating,Coal
Nammuldi,Western Australia,-22.406866,117.395299,Operating,Iron ore
Narrabri,New South Wales,-30.52,149.85,Operating,Coal
Nelson Bay River,Tasmania,-41.17,144.74,Care and maintenance,Iron ore
Nevoria,Western Australia,-31.5067,119.5835,Operating,"Precious metals - Au, Ag"
New Acland,Queensland,-27.269628,151.707831,Operating,Coal
New Cobar,New South Wales,-31.5161,145.8551,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
New Occidental,New South Wales,-31.5403,145.864,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Newstan,New South Wales,-32.975814,151.57689,Care and maintenance,Coal
Nicolson's Find,Western Australia,-18.4096,127.3567,Operating,"Precious metals - Au, Ag"
Nifty,Western Australia,-21.654853,121.570871,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Nolans Bore,Northern Territory,-22.59385,133.238557,Developing Mine,Rare earth elements (REE)
Norseman,Western Australia,-32.1964,121.7941,Developing Mine,"Precious metals - Au, Ag"
North Goonyella,Queensland,-21.64755,147.976615,Care and maintenance,Coal
Northcote,Queensland,-17.0058,145.1571,Developing Mine,"Precious metals - Au, Ag"
Northparkes,New South Wales,-32.9135,148.0498,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Norton,Queensland,-24.3218,151.3724,Care and maintenance,"Precious metals - Au, Ag"
Norwich Park,Queensland,-22.615826,148.429355,Care and maintenance,Coal
Nova-Bollinger,Western Australia,-31.819886,123.192413,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Nullagine,Western Australia,-21.8784,120.2916,Operating,"Precious metals - Au, Ag"
Nullagine,Western Australia,-22.0928,119.8358,Care and maintenance,Iron ore
Nyngan,New South Wales,-31.612,146.994,Developing Mine,Rare earth elements (REE)
Oaky Creek,Queensland,-23.041584,148.49321,Operating,Coal
Odysseus,Western Australia,-27.600285,120.576324,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Olive Downs,Queensland,-22.2091,148.369,Developing Mine,Coal
Olympic Dam,South Australia,-30.437444,136.889293,Operating,"Base metals - Cu, Au, U"
Orion Downs,Queensland,-24.425,148.361,Operating,Coal
Osborne,Queensland,-22.0939,140.5736,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Otter Juan,Western Australia,-31.16898,121.6514,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Paddy's Flat,Western Australia,-26.6181,118.5022,Operating,"Precious metals - Au, Ag"
Pajingo,Queensland,-20.548,146.4634,Operating,"Precious metals - Au, Ag"
Panton,Western Australia,-17.75153,127.831596,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Paraburdoo,Western Australia,-23.2292,117.579,Operating,Iron ore
Paulsens,Western Australia,-22.5794,116.2426,Care and maintenance,"Precious metals - Au, Ag"
Peak Downs,Queensland,-22.219914,148.173066,Operating,Coal
Peculiar Knob,South Australia,-29.586813,135.382648,Care and maintenance,Iron ore
Penny,Western Australia,-28.852443,118.80643,Operating,"Precious metals - Au, Ag"
Penny's Find,Western Australia,-30.53256,121.8745,Care and maintenance,"Precious metals - Au, Ag"
Perseverance,New South Wales,-31.5715,145.8824,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Perth Basin,Western Australia,-29.85581,115.301799,Operating,"Heavy mineral sands - Ti, Zr"
Pilgangoora (Pilbara Minerals),Western Australia,-21.0723,118.8953,Operating,Lithium
Pine Dale,New South Wales,-33.297,150.065,Care and maintenance,Coal
Plutonic,Western Australia,-25.3171,119.4437,Operating,"Precious metals - Au, Ag"
Poitrel,Queensland,-22.041216,148.234381,Operating,Coal
Portia,South Australia,-31.433894,140.451072,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Premier,Western Australia,-33.391728,116.286509,Operating,Coal
Prominent Hill,South Australia,-29.72004,135.5749,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Radio Hill,Western Australia,-20.982542,116.864841,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Rasp Mine,New South Wales,-31.965517,141.451273,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Ravensthorpe,Western Australia,-33.64212,120.396308,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Ravenswood,Queensland,-20.096942,146.879978,Operating,"Precious metals - Au, Ag"
Ravensworth East,New South Wales,-32.3955,151.0717,Operating,Coal
Ravensworth North,New South Wales,-32.44,150.997,Operating,Coal
Ravensworth Underground,New South Wales,-32.436562,151.037482,Care and maintenance,Coal
Red October,Western Australia,-29.2166,122.4141,Operating,"Precious metals - Au, Ag"
Redbank,Northern Territory,-17.193231,137.743503,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Renison Bell,Tasmania,-41.7824,145.434,Operating,"Other metals - Sn, W, Ta"
Ridges,Western Australia,-16.599104,128.273183,Care and maintenance,Iron ore
Ridgeway,New South Wales,-33.4353,148.9759,Care and maintenance,"Precious metals - Au, Ag"
Riley Creek,Tasmania,-41.74475,145.4114,Care and maintenance,Iron ore
Riverina,Western Australia,-29.7519,120.5652,Operating,"Precious metals - Au, Ag"
Rixs Creek,New South Wales,-32.52684,151.129982,Operating,Coal
Robe River,Western Australia,-21.747484,116.242201,Operating,Iron ore
Rocklands,Queensland,-20.67809,140.363019,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Rolleston,Queensland,-24.444059,148.410596,Operating,Coal
Roper,Northern Territory,-14.416667,134,Operating,"Heavy mineral sands - Ti, Zr"
Roper Bar,Northern Territory,-15.223,135.074,Care and maintenance,Iron ore
Roper River,Northern Territory,-14.42532,134.18386,Care and maintenance,Iron ore
Rose of Denmark,Victoria,-37.0821,147.10913,Care and maintenance,"Precious metals - Au, Ag"
Rosebery,Tasmania,-41.7723,145.5431,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Rosemont,Western Australia,-27.8397,122.2753,Operating,"Precious metals - Au, Ag"
Rothsay,Western Australia,-29.2821,116.8659,Operating,"Precious metals - Au, Ag"
Roy Hill,Western Australia,-22.562194,120.057771,Operating,Iron ore
Rumbles,Western Australia,-31.0668,122.1882,Operating,"Precious metals - Au, Ag"
Russell Vale,New South Wales,-34.346849,150.869989,Care and maintenance,Coal
Saint Elmo,Queensland,-20.555,141.875,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Sanjiv Ridge,Western Australia,-21.473998,119.664944,Operating,Iron ore
Saraji,Queensland,-22.369379,148.291051,Operating,Coal
Savage River,Tasmania,-41.487982,145.204429,Operating,Iron ore
Savannah,Western Australia,-17.347206,128.023493,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Sconi,Queensland,-19.026873,144.954374,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Shine,Western Australia,-28.8484,116.9358,Care and maintenance,Iron ore
Siberia,Western Australia,-30.2111,120.9624,Operating,"Precious metals - Au, Ag"
Silvergrass,Western Australia,-22.183297,117.18516,Operating,Iron ore
Sino Iron,Western Australia,-21.079589,116.147352,Operating,Iron ore
Siviour,South Australia,-33.918009,136.428284,Developing Mine,Graphite
Sonoma,Queensland,-20.62,147.86,Operating,Coal
South Kalgoorlie,Western Australia,-31.0385,121.6148,Operating,"Precious metals - Au, Ag"
South Walker Creek,Queensland,-21.770942,148.442713,Operating,Coal
South West,Western Australia,-30.7986,115.5673,Operating,"Heavy mineral sands - Ti, Zr"
Spargos Reward,Western Australia,-31.2362,121.4687,Operating,"Precious metals - Au, Ag"
Spotted Quoll,Western Australia,-32.47818,119.677803,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Springvale,New South Wales,-33.4006,150.105627,Operating,Coal
St Ives,Western Australia,-31.2951,121.6761,Operating,"Precious metals - Au, Ag"
Stawell,Victoria,-37.0589,142.8002,Care and maintenance,"Precious metals - Au, Ag"
Stratford Duralie,New South Wales,-32.11766,151.973597,Operating,Coal
Sunrise,New South Wales,-32.756687,147.419586,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Sunrise Dam,Western Australia,-29.0775,122.4245,Operating,"Precious metals - Au, Ag"
Syerston,New South Wales,-32.756687,147.419586,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Tahmoor,New South Wales,-34.2508,150.5795,Operating,Coal
Tampia,Western Australia,-32.1624,118.4517,Operating,"Precious metals - Au, Ag"
Tanami - Newmont,Northern Territory,-20.5256,129.9336,Operating,"Precious metals - Au, Ag"
Tank - Atreides,Western Australia,-31.063,122.5802,Operating,"Precious metals - Au, Ag"
Tarcoola,South Australia,-30.697135,134.529982,Care and maintenance,"Precious metals - Au, Ag"
Tarong,Queensland,-26.813543,151.911523,Operating,Coal
Tarrawonga,New South Wales,-30.638,150.163,Operating,Coal
Tasman,New South Wales,-32.886825,151.540002,Care and maintenance,Coal
Telfer,Western Australia,-21.7224,122.2109,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Thalanga,Queensland,-20.3419,145.7699,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Thuddungra,New South Wales,-34.173315,148.049644,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Thunderbird,Western Australia,-17.431715,122.967879,Developing Mine,"Heavy mineral sands - Ti, Zr"
Thunderbox,Western Australia,-28.192,121.0054,Operating,"Precious metals - Au, Ag"
Tomingley,New South Wales,-32.5848,148.2067,Operating,"Precious metals - Au, Ag"
Tooheys Well,Western Australia,-27.939959,122.368122,Operating,"Precious metals - Au, Ag"
Toongi,New South Wales,-32.445319,148.618178,Developing Mine,Rare earth elements (REE)
Tritton,New South Wales,-31.3956,146.7216,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Tropicana,Western Australia,-29.26,124.55,Operating,"Precious metals - Au, Ag"
Ulan,New South Wales,-32.246863,149.749983,Operating,Coal
Uley,South Australia,-34.799274,135.703459,Developing Mine,Graphite
United Wambo,New South Wales,-32.558422,151.008851,Operating,Coal
Venus,Western Australia,-27.815,120.704,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Vivien,Western Australia,-27.9751,120.5695,Operating,"Precious metals - Au, Ag"
Vulcan,Queensland,-22.287,148.188,Developing Mine,Coal
Wallaby,Western Australia,-28.8518,122.3055,Operating,"Precious metals - Au, Ag"
Wambo,New South Wales,-32.578151,150.998075,Operating,Coal
Warkworth,New South Wales,-32.60701,151.090164,Operating,Coal
Warrawoona,Western Australia,-21.33548,119.892303,Developing Mine,"Precious metals - Au, Ag"
Waterloo,Western Australia,-28.14377,120.977997,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Weipa,Queensland,-12.6637,141.8732,Operating,Bauxite
Werris Creek,New South Wales,-31.40698,150.6395,Operating,Coal
West Angelas,Western Australia,-23.18855,118.78829,Operating,Iron ore
Western Range,Western Australia,-23.225,117.561,Developing Mine,Iron ore
Western Turner Syncline,Western Australia,-22.66221,117.586304,Operating,Iron ore
Westralia,Western Australia,-28.7696,122.0679,Operating,"Precious metals - Au, Ag"
Whim Creek,Western Australia,-20.84373,117.830583,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
White Dam,South Australia,-32.0955,140.5793,Operating,"Precious metals - Au, Ag"
White Foil,Western Australia,-30.7738,121.2506,Operating,"Precious metals - Au, Ag"
Widgiemooltha,Western Australia,-31.494669,121.564082,Care and maintenance,"Precious metals - Au, Ag"
Willowdale,Western Australia,-32.845099,116.061824,Operating,Bauxite
Wilpinjong,New South Wales,-32.332,149.885,Operating,Coal
Wiluna West,Western Australia,-26.68036,119.9373,Operating,Iron ore
Wim 100,Victoria,-36.95718,141.92579,Developing Mine,"Heavy mineral sands - Ti, Zr, REE"
Wim 150,Victoria,-36.804284,142.367802,Developing Mine,"Heavy mineral sands - Ti, Zr, REE"
Windimurra,Western Australia,-28.2993,118.5352,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Wingellina,Western Australia,-26.03964,128.939301,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Wodgina,Western Australia,-21.190332,118.674092,Care and maintenance,Lithium
Wolfram Camp,Queensland,-17.084464,144.969389,Care and maintenance,"Other metals - Sn, W, Ta"
Wonawinta,New South Wales,-32.2181,145.7322,Developing Mine,"Precious metals - Au, Ag"
Wongawilli,New South Wales,-34.474921,150.735664,Care and maintenance,Coal
Wonmunna,Western Australia,-23.12290261,119.0497302,Operating,Iron ore
Wonnerup,Western Australia,-33.653782,115.4506,Operating,"Heavy mineral sands - Ti, Zr"
Woodie Woodie,Western Australia,-21.638771,121.235468,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Woodlawn,New South Wales,-35.061317,149.571681,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Worsley,Western Australia,-32.929208,116.455911,Operating,Bauxite
Yallourn,Victoria,-38.195064,146.360402,Operating,Coal
Yaloginda,Western Australia,-26.7046,118.4365,Operating,"Precious metals - Au, Ag"
Yalyalup,Western Australia,-33.689709,115.472298,Developing Mine,"Heavy mineral sands - Ti, Zr"
Yandi,Western Australia,-22.734839,119.103329,Operating,Iron ore
Yandicoogina,Western Australia,-22.762345,119.211129,Operating,Iron ore
Yangibana,Western Australia,-23.891614,116.195835,Developing Mine,Rare earth elements (REE)
Yarrabee,Queensland,-23.317678,149.026371,Operating,Coal
