Country,Export Value,Import Value,Continent,Year
China,3474454,5568963,Asia,2000
Japan,12600200,9413281,Asia,2000
Korea,5230432,2936882,Asia,2000
United Kingdom,2168863,4174793,Eurpoe,2000
United States,6343590,14255578,North America,2000
India,1059580,452753,Asia,2000
Singapore,3386434,2234450,Asia,2000
New Zealand,3798138,2739145,Oceania,2000
Malaysia,1366546,2590675,Asia,2000
"Hong Kong, China",2063754,775703,Asia,2000
Vietnam,264305,1317733,Asia,2000
Indonesia,1672714,1682285,Asia,2000
Thailand,1132558,1728716,Asia,2000
United Arab Emirates,583587,593081,Asia,2000
Netherlands,1029633,590216,Eurpoe,2000
Philippines,881592,326084,Asia,2000
Papua New Guinea,569078,847626,Oceania,2000
Germany,751902,3582934,Eurpoe,2000
Canada,837568,1170330,North America,2000
Switzerland,108959,746128,Eurpoe,2000
China,3917959 ,5625308 ,Asia,2001
Japan,12255377 ,8344980 ,Asia,2001
"Korea, Rep.",4925112 ,2516281 ,Asia,2001
United Kingdom,2685677 ,3376323 ,Eurpoe,2001
United States,6170683 ,11729046 ,North America,2001
India,1252743 ,445302 ,Asia,2001
Singapore,2764993 ,2138127 ,Asia,2001
New Zealand,3711513 ,2583996 ,Oceania,2001
Malaysia,1339130 ,2120765 ,Asia,2001
"Hong Kong, China",2162921 ,758939 ,Asia,2001
Vietnam,258294 ,1174899 ,Asia,2001
Indonesia,1663756 ,2163603 ,Asia,2001
Thailand,1183413 ,1472300 ,Asia,2001
United Arab Emirates,655810 ,523007 ,Asia,2001
Netherlands,850199 ,560343 ,Eurpoe,2001
Philippines,682532 ,274287 ,Asia,2001
Papua New Guinea,534083 ,662565 ,Oceania,2001
Germany,752962 ,3617827 ,Eurpoe,2001
Canada,938178 ,967644 ,North America,2001
Switzerland,141608 ,681510 ,Eurpoe,2001
China,4557231 ,7332896 ,Asia,2002
Japan,12064746 ,9062529 ,Asia,2002
"Korea, Rep.",5431902 ,2716634 ,Asia,2002
United Kingdom,3051556 ,3312087 ,Eurpoe,2002
United States,6308652 ,13340675 ,North America,2002
India,1350323 ,541361 ,Asia,2002
Singapore,2697271 ,2425589 ,Asia,2002
New Zealand,4321322 ,2798753 ,Oceania,2002
Malaysia,1247859 ,2221991 ,Asia,2002
"Hong Kong, China",1927438 ,747241 ,Asia,2002
Vietnam,272555 ,1308111 ,Asia,2002
Indonesia,1665166 ,2421210 ,Asia,2002
Thailand,1365408 ,1797629 ,Asia,2002
United Arab Emirates,695309 ,223171 ,Asia,2002
Netherlands,767795 ,688605 ,Eurpoe,2002
Philippines,628300 ,436205 ,Asia,2002
Papua New Guinea,544875 ,676997 ,Oceania,2002
Germany,867382 ,4183636 ,Eurpoe,2002
Canada,1019244 ,1013536 ,North America,2002
Switzerland,171043 ,710447 ,Eurpoe,2002
China,5922091 ,9832373 ,Asia,2003
Japan,12820287 ,11131503 ,Asia,2003
"Korea, Rep.",5267086 ,3227695 ,Asia,2003
United Kingdom,4822895 ,3706981 ,Eurpoe,2003
United States,6158398 ,14194301 ,North America,2003
India,2175138 ,675885 ,Asia,2003
Singapore,2283471 ,3031478 ,Asia,2003
New Zealand,5307658 ,3441889 ,Oceania,2003
Malaysia,1354816 ,2951506 ,Asia,2003
"Hong Kong, China",1870991 ,779715 ,Asia,2003
Vietnam,276435 ,1603544 ,Asia,2003
Indonesia,1814239 ,2800522 ,Asia,2003
Thailand,1467233 ,2469927 ,Asia,2003
United Arab Emirates,728910 ,694305 ,Asia,2003
Netherlands,869891 ,831339 ,Eurpoe,2003
Philippines,626168 ,550666 ,Asia,2003
Papua New Guinea,556065 ,1003538 ,Oceania,2003
Germany,831655 ,5459211 ,Eurpoe,2003
Canada,1133959 ,1252703 ,North America,2003
Switzerland,180101 ,763683 ,Eurpoe,2003
China,8094988 ,14073256 ,Asia,2004
Japan,16314189 ,12881768 ,Asia,2004
"Korea, Rep.",6740744 ,3805348 ,Asia,2004
United Kingdom,3713921 ,4392072 ,Eurpoe,2004
United States,7009495 ,16111107 ,North America,2004
India,3991108 ,885286 ,Asia,2004
Singapore,2388143 ,4796864 ,Asia,2004
New Zealand,6444982 ,4026720 ,Oceania,2004
Malaysia,1784668 ,4280578 ,Asia,2004
"Hong Kong, China",2001658 ,978325 ,Asia,2004
Vietnam,491317 ,1938897 ,Asia,2004
Indonesia,2377582 ,2906133 ,Asia,2004
Thailand,2249096 ,2926616 ,Asia,2004
United Arab Emirates,946829 ,759644 ,Asia,2004
Netherlands,1130542 ,976021 ,Eurpoe,2004
Philippines,725662 ,566951 ,Asia,2004
Papua New Guinea,678786 ,1204917 ,Oceania,2004
Germany,966023 ,6275616 ,Eurpoe,2004
Canada,1443080 ,1448949 ,North America,2004
Switzerland,154955 ,1029818 ,Eurpoe,2004
China,12302482,17341183,Asia,2005
Japan,21703963,13765147,Asia,2005
Korea,8359626,4148449,Asia,2005
United Kingdom,3788420,4899175,Eurpoe,2005
United States,7069127,17460413,North America,2005
India,5322623,995383,Asia,2005
Singapore,3020183,6902212,Asia,2005
New Zealand,6866766,4355649,Oceania,2005
Malaysia,1917088,4832416,Asia,2005
"Hong Kong, China",2034920,1058263,Asia,2005
Vietnam,509627,2727497,Asia,2005
Indonesia,2749269,2991135,Asia,2005
Thailand,3149680,3866691,Asia,2005
United Arab Emirates,937652,324985,Asia,2005
Netherlands,1661409,1031152,Eurpoe,2005
Philippines,645432,599849,Asia,2005
Papua New Guinea,1019522,1559138,Oceania,2005
Germany,1031911,6935907,Eurpoe,2005
Canada,1364331,1530376,North America,2005
Switzerland,160930,1169930,Eurpoe,2005
China,15356473 ,20327744 ,Asia,2006
Japan,24446820 ,13711754 ,Asia,2006
"Korea, Rep.",9310297 ,5451304 ,Asia,2006
United Kingdom,6114960 ,4895223 ,Eurpoe,2006
United States,7583157 ,19664100 ,North America,2006
India,6644789 ,1023494 ,Asia,2006
Singapore,3436780 ,8433882 ,Asia,2006
New Zealand,6738632 ,4359327 ,Oceania,2006
Malaysia,2135958 ,5258621 ,Asia,2006
"Hong Kong, China",2366142 ,1292509 ,Asia,2006
Vietnam,1195357 ,3920751 ,Asia,2006
Indonesia,3323259 ,3605203 ,Asia,2006
Thailand,3225455 ,4929115 ,Asia,2006
United Arab Emirates,1469901 ,1043242 ,Asia,2006
Netherlands,2130186 ,1119354 ,Eurpoe,2006
Philippines,742808 ,608326 ,Asia,2006
Papua New Guinea,1128162 ,1753933 ,Oceania,2006
Germany,1037152 ,7071564 ,Eurpoe,2006
Canada,1265177 ,1791962 ,North America,2006
Switzerland,287705 ,1395029 ,Eurpoe,2006
China,19967514 ,25898023 ,Asia,2007
Japan,26801196 ,15907701 ,Asia,2007
"Korea, Rep.",11306985 ,5227402 ,Asia,2007
United Kingdom,5883783 ,6997323 ,Eurpoe,2007
United States,8417110 ,21252492 ,North America,2007
India,7802195 ,1296619 ,Asia,2007
Singapore,3416831 ,9182734 ,Asia,2007
New Zealand,7955249 ,5506316 ,Oceania,2007
Malaysia,2644931 ,6376348 ,Asia,2007
"Hong Kong, China",2347973 ,1229455 ,Asia,2007
Vietnam,1189990 ,3968043 ,Asia,2007
Indonesia,3279170 ,4300715 ,Asia,2007
Thailand,3704826 ,6896807 ,Asia,2007
United Arab Emirates,2581353 ,1871231 ,Asia,2007
Netherlands,2332504 ,1291738 ,Eurpoe,2007
Philippines,926130 ,705095 ,Asia,2007
Papua New Guinea,1383709 ,2166484 ,Oceania,2007
Germany,1126056 ,8514044 ,Eurpoe,2007
Canada,1503217 ,1861518 ,North America,2007
Switzerland,1393998 ,1694024 ,Eurpoe,2007
China,27225182 ,31588261 ,Asia,2008
Japan,42731585 ,18049343 ,Asia,2008
"Korea, Rep.",15485802 ,5730763 ,Asia,2008
United Kingdom,7844216 ,8657782 ,Eurpoe,2008
United States,10184268 ,24256280 ,North America,2008
India,11379978 ,1642098 ,Asia,2008
Singapore,5154095 ,14230994 ,Asia,2008
New Zealand,7867169 ,6717551 ,Oceania,2008
Malaysia,3361561 ,7870859 ,Asia,2008
"Hong Kong, China",2528201 ,1274161 ,Asia,2008
Vietnam,1347628 ,4591018 ,Asia,2008
Indonesia,3587340 ,4683533 ,Asia,2008
Thailand,4489011 ,8955745 ,Asia,2008
United Arab Emirates,3291433 ,2048063 ,Asia,2008
Netherlands,3051366 ,1623255 ,Eurpoe,2008
Philippines,1245293 ,645562 ,Asia,2008
Papua New Guinea,1309873 ,2504833 ,Oceania,2008
Germany,1547096 ,10003689 ,Eurpoe,2008
Canada,1294341 ,2384216 ,North America,2008
Switzerland,377408 ,1963757 ,Eurpoe,2008
China,33389244 ,29211722 ,Asia,2009
Japan,30014166 ,13476040 ,Asia,2009
"Korea, Rep.",12281989 ,5293360 ,Asia,2009
United Kingdom,7076845 ,5044260 ,Eurpoe,2009
United States,7467441 ,18669858 ,North America,2009
India,11363671 ,1667570 ,Asia,2009
Singapore,4202533 ,8792367 ,Asia,2009
New Zealand,6221601 ,5327365 ,Oceania,2009
Malaysia,2457131 ,5961527 ,Asia,2009
"Hong Kong, China",2256754 ,985979 ,Asia,2009
Vietnam,1087689 ,2562508 ,Asia,2009
Indonesia,3250129 ,3654319 ,Asia,2009
Thailand,3325576 ,9303743 ,Asia,2009
United Arab Emirates,1650353 ,1736288 ,Asia,2009
Netherlands,1581782 ,1250157 ,Eurpoe,2009
Philippines,915094 ,377456 ,Asia,2009
Papua New Guinea,1437285 ,2335693 ,Oceania,2009
Germany,1032358 ,8623970 ,Eurpoe,2009
Canada,1124964 ,1585441 ,North America,2009
Switzerland,392817 ,1991875 ,Eurpoe,2009
China,53740402,38004358,Asia,2010
Japan,40088026,17526279,Asia,2010
Korea,18829447,6889100,Asia,2010
United Kingdom,7638634,5532222,Eurpoe,2010
United States,8430740,22561955,North America,2010
India,15109408,1912248,Asia,2010
Singapore,4453662,10079072,Asia,2010
New Zealand,7356810,6887973,Oceania,2010
Malaysia,3347100,8562455,Asia,2010
"Hong Kong, China",2893507,1091843,Asia,2010
Vietnam,1400160,2979042,Asia,2010
Indonesia,4131358,5095603,Asia,2010
Thailand,5385844,10513320,Asia,2010
United Arab Emirates,1962169,2131162,Asia,2010
Netherlands,2406308,1268594,Eurpoe,2010
Philippines,1152973,466226,Asia,2010
Papua New Guinea,1873974,2794334,Oceania,2010
Germany,1429329,10017221,Eurpoe,2010
Canada,1151780,1731115,North America,2010
Switzerland,268941,2064453,Eurpoe,2010
China,73804137 ,43447910 ,Asia,2011
Japan,52088076 ,18577829 ,Asia,2011
"Korea, Rep.",24008837 ,7352557 ,Asia,2011
United Kingdom,7784569 ,6939311 ,Eurpoe,2011
United States,9844791 ,26797969 ,North America,2011
India,15750321 ,2297365 ,Asia,2011
Singapore,6580458 ,14596109 ,Asia,2011
New Zealand,7926787 ,7829937 ,Oceania,2011
Malaysia,4638583 ,8779593 ,Asia,2011
"Hong Kong, China",3086335 ,1173821 ,Asia,2011
Vietnam,2111142 ,2916415 ,Asia,2011
Indonesia,5565925 ,6098804 ,Asia,2011
Thailand,6991418 ,8710152 ,Asia,2011
United Arab Emirates,2302742 ,4265851 ,Asia,2011
Netherlands,3602114 ,1570508 ,Eurpoe,2011
Philippines,1588119 ,450303 ,Asia,2011
Papua New Guinea,2385443 ,3791897 ,Oceania,2011
Germany,1960247 ,10952152 ,Eurpoe,2011
Canada,1556556 ,1823137 ,North America,2011
Switzerland,677360 ,3065674 ,Eurpoe,2011
China,75836312 ,45996261 ,Asia,2012
Japan,49680327 ,19712941 ,Asia,2012
"Korea, Rep.",20540981 ,10201262 ,Asia,2012
United Kingdom,6930897 ,6953421 ,Eurpoe,2012
United States,9515735 ,29386824 ,North America,2012
India,12611730 ,2677047 ,Asia,2012
Singapore,7374404 ,15010975 ,Asia,2012
New Zealand,7665860 ,7528441 ,Oceania,2012
Malaysia,5256062 ,9928191 ,Asia,2012
"Hong Kong, China",2650745 ,1233536 ,Asia,2012
Vietnam,1848744 ,3263307 ,Asia,2012
Indonesia,4952845 ,6554599 ,Asia,2012
Thailand,5043885 ,10534076 ,Asia,2012
United Arab Emirates,2117927 ,3152177 ,Asia,2012
Netherlands,3002512 ,1999158 ,Eurpoe,2012
Philippines,1870117 ,505354 ,Asia,2012
Papua New Guinea,2945419 ,3547526 ,Oceania,2012
Germany,1678364 ,11628403 ,Eurpoe,2012
Canada,1725617 ,2375970 ,North America,2012
Switzerland,704866 ,2989986 ,Eurpoe,2012
China,87311419 ,44861052 ,Asia,2013
Japan,31251834 ,17946305 ,Asia,2013
"Korea, Rep.",17710695 ,9422432 ,Asia,2013
United Kingdom,3542184 ,5964836 ,Eurpoe,2013
United States,7603068 ,23820299 ,North America,2013
India,8453698 ,2282313 ,Asia,2013
Singapore,5227307 ,12144185 ,Asia,2013
New Zealand,6785539 ,6996420 ,Oceania,2013
Malaysia,4457750 ,8846118 ,Asia,2013
"Hong Kong, China",2466223 ,1173729 ,Asia,2013
Vietnam,2027474 ,3665514 ,Asia,2013
Indonesia,4171865 ,5720872 ,Asia,2013
Thailand,4700538 ,10672586 ,Asia,2013
United Arab Emirates,1667130 ,3605880 ,Asia,2013
Netherlands,2003505 ,1654825 ,Eurpoe,2013
Philippines,1314840 ,686528 ,Asia,2013
Papua New Guinea,2249385 ,2893935 ,Oceania,2013
Germany,1374828 ,10937429 ,Eurpoe,2013
Canada,1044369 ,1921262 ,North America,2013
Switzerland,800933 ,2861075 ,Eurpoe,2013
China,81413613 ,46854594 ,Asia,2014
Japan,43135787 ,15478595 ,Asia,2014
"Korea, Rep.",17891714 ,10614475 ,Asia,2014
United Kingdom,3312570 ,5484532 ,Eurpoe,2014
United States,9943290 ,24148859 ,North America,2014
India,7995340 ,2768026 ,Asia,2014
Singapore,7609099 ,11396038 ,Asia,2014
New Zealand,7179159 ,7081296 ,Oceania,2014
Malaysia,5431982 ,10036756 ,Asia,2014
"Hong Kong, China",2544694 ,1077904 ,Asia,2014
Vietnam,2746189 ,4462048 ,Asia,2014
Indonesia,4533817 ,5491389 ,Asia,2014
Thailand,4637086 ,9844416 ,Asia,2014
United Arab Emirates,2631453 ,2543139 ,Asia,2014
Netherlands,1787465 ,1762836 ,Eurpoe,2014
Philippines,1465013 ,1060787 ,Asia,2014
Papua New Guinea,1945035 ,3340701 ,Oceania,2014
Germany,1225254 ,10706488 ,Eurpoe,2014
Canada,1106908 ,1835920 ,North America,2014
Switzerland,492016 ,2538879 ,Eurpoe,2014
China,61012456,46292722,Asia,2015
Japan,29826962,14793098,Asia,2015
Korea,13299325,8890,Asia,2015
United Kingdom,2785303,5338147,Eurpoe,2015
United States,9977449,22560990,North America,2015
India,7946612,3580674,Asia,2015
Singapore,5092143,6959026,Asia,2015
New Zealand,6262277,5726842,Oceania,2015
Malaysia,3424096,7391929,Asia,2015
"Hong Kong, China",2429770,903757,Asia,2015
Vietnam,2610552,3354368,Asia,2015
Indonesia,3729748,4213360,Asia,2015
Thailand,3251688,10197010,Asia,2015
United Arab Emirates,2516812,1858911,Asia,2015
Netherlands,1724156,1595889,Eurpoe,2015
Philippines,1161698,558442,Asia,2015
Papua New Guinea,1280618,2242136,Oceania,2015
Germany,1120757,9275084,Eurpoe,2015
Canada,1161530,1668497,North America,2015
Switzerland,519446,2420414,Eurpoe,2015
China,59992750 ,44241022 ,Asia,2016
Japan,26344515 ,14593655 ,Asia,2016
"Korea, Rep.",12770223 ,8099730 ,Asia,2016
United Kingdom,7504115 ,5310179 ,Eurpoe,2016
United States,8761918 ,21703312 ,North America,2016
India,7919028 ,3253180 ,Asia,2016
Singapore,4115667 ,5219372 ,Asia,2016
New Zealand,6462074 ,5626678 ,Oceania,2016
Malaysia,3504835 ,6912294 ,Asia,2016
"Hong Kong, China",7207581 ,691601 ,Asia,2016
Vietnam,2786240 ,3332260 ,Asia,2016
Indonesia,3975953 ,3668914 ,Asia,2016
Thailand,2640642 ,10872745 ,Asia,2016
United Arab Emirates,2145495 ,1527027 ,Asia,2016
Netherlands,1772079 ,1690298 ,Eurpoe,2016
Philippines,1431711 ,578917 ,Asia,2016
Papua New Guinea,1276912 ,2652738 ,Oceania,2016
Germany,1332604 ,10079658 ,Eurpoe,2016
Canada,1315148 ,1563706 ,North America,2016
Switzerland,780763 ,2361698 ,Eurpoe,2016
China,68471064 ,49971610 ,Asia,2017
Japan,24179669 ,16523673 ,Asia,2017
"Korea, Rep.",13232653 ,15892263 ,Asia,2017
United Kingdom,4549840 ,5433704 ,Eurpoe,2017
United States,8434027 ,23612147 ,North America,2017
India,10856139 ,4011527 ,Asia,2017
Singapore,3616274 ,6377955 ,Asia,2017
New Zealand,6801320 ,6059371 ,Oceania,2017
Malaysia,3400838 ,8632211 ,Asia,2017
"Hong Kong, China",9123399 ,590671 ,Asia,2017
Vietnam,3512532 ,3944662 ,Asia,2017
Indonesia,4887553 ,3213594 ,Asia,2017
Thailand,3055521 ,11073614 ,Asia,2017
United Arab Emirates,1337171 ,1612916 ,Asia,2017
Netherlands,2185915 ,1825035 ,Eurpoe,2017
Philippines,1752152 ,525104 ,Asia,2017
Papua New Guinea,1310462 ,2580290 ,Oceania,2017
Germany,1546892 ,10767694 ,Eurpoe,2017
Canada,1089489 ,1719365 ,North America,2017
Switzerland,1092232 ,2361980 ,Eurpoe,2017
China,87726225 ,57699422 ,Asia,2018
Japan,41355759 ,17351100 ,Asia,2018
"Korea, Rep.",17745604 ,10182484 ,Asia,2018
United Kingdom,3611194 ,5604748 ,Eurpoe,2018
United States,9552814 ,24664658 ,North America,2018
India,12369312 ,4241950 ,Asia,2018
Singapore,7327463 ,8822141 ,Asia,2018
New Zealand,7167242 ,6057062 ,Oceania,2018
Malaysia,5525384 ,9912706 ,Asia,2018
"Hong Kong, China",7676459 ,768004 ,Asia,2018
Vietnam,3708220 ,4679123 ,Asia,2018
Indonesia,4796360 ,3846286 ,Asia,2018
Thailand,4882874 ,11523928 ,Asia,2018
United Arab Emirates,2917471 ,2389739 ,Asia,2018
Netherlands,2568065 ,2354693 ,Eurpoe,2018
Philippines,1630260 ,550190 ,Asia,2018
Papua New Guinea,1599523 ,2701854 ,Oceania,2018
Germany,1661255 ,11623555 ,Eurpoe,2018
Canada,1417343 ,1702505 ,North America,2018
Switzerland,864715 ,2757164 ,Eurpoe,2018
China,102995845,56946556,Asia,2019
Japan,39454955,15471958,Asia,2019
Korea,17463868,8636986,Asia,2019
United Kingdom,10570263,5213782,Eurpoe,2019
United States,10170511,26226410,North America,2019
India,9702220,3364138,Asia,2019
Singapore,8371746,7489223,Asia,2019
New Zealand,7076784,5559642,Oceania,2019
Malaysia,6183516,7800406,Asia,2019
"Hong Kong, China",5169101,417163,Asia,2019
Vietnam,4205898,4301364,Asia,2019
Indonesia,4099330,3623278,Asia,2019
Thailand,3062922,10667031,Asia,2019
United Arab Emirates,2526467,1957916,Asia,2019
Netherlands,2167155,2405736,Eurpoe,2019
Philippines,1917633,520493,Asia,2019
Papua New Guinea,1754288,2873336,Oceania,2019
Germany,1703920,10527572,Eurpoe,2019
Canada,1517281,1957653,North America,2019
Switzerland,1316356,2500785,Eurpoe,2019
